"Time","vhx","vhy"
190,3.665707661907055e-08,-7.325194183628383e-08
191,3.56853351560173e-08,-6.984945952431341e-08
192,3.466616359718326e-08,-6.629395774095564e-08
193,3.359909647138657e-08,-6.258496132319527e-08
194,3.248368492186454e-08,-5.872212840223248e-08
195,3.131949707544245e-08,-5.470525193510675e-08
196,3.01061184073759e-08,-5.053426105817473e-08
197,2.884315210178441e-08,-4.620922225973889e-08
198,2.753021940760133e-08,-4.17303403694047e-08
199,2.616695998995712e-08,-3.709795936207455e-08
200,2.475303227691326e-08,-3.23125629747577e-08
201,2.328811380146434e-08,-2.737477513472062e-08
202,2.177190153871701e-08,-2.228536019778023e-08
203,2.020411223815662e-08,-1.704522299588698e-08
204,1.858448275090919e-08,-1.165540869343658e-08
205,1.691277035189934e-08,-6.117102452071995e-09
206,1.518875305680643e-08,-4.316289040643252e-10
207,1.341222993371146e-08,5.399548565331452e-09
208,1.158302140933393e-08,1.137482872584313e-08
209,9.700969569738863e-09,1.749247359943109e-08
210,7.765938455407317e-09,2.375060974548247e-08
211,5.777814350546303e-09,3.014722973230842e-08
212,3.736506066515552e-09,3.668019379297e-08
213,1.641945219247622e-09,4.334723166317721e-08
214,-5.059134994747581e-10,5.014594459870395e-08
215,-2.707092057015403e-09,5.707380756944213e-08
216,-4.961588821296487e-09,6.412817162695562e-08
217,-7.269378308768374e-09,7.130626644209449e-08
218,-9.630410939087559e-09,7.860520300894593e-08
219,-1.204461279665028e-08,8.602197651113742e-08
220,-1.451188539914112e-08,9.355346934622513e-08
221,-1.703210547325325e-08,1.011964543036611e-07
222,-1.960512473774761e-08,1.089475978915581e-07
223,-2.223076969401337e-08,1.168034638072385e-07
224,-2.490884142430551e-08,1.247605165463306e-07
225,-2.763911539782832e-08,1.328151251449155e-07
226,-3.042134128484891e-08,1.409635670490512e-07
227,-3.325524277901362e-08,1.492020321057595e-07
228,-3.614051742805756e-08,1.575266266693859e-07
229,-3.907683647309049e-08,1.65933377817037e-07
230,-4.206384469664521e-08,1.744182376666466e-07
231,-4.51011602796857e-08,1.82977087791035e-07
232,-4.818837466776295e-08,1.916057437211709e-07
233,-5.132505244651372e-08,2.002999595317318e-07
234,-5.451073122670094e-08,2.09055432501879e-07
235,-5.774492153898874e-08,2.178678078440962e-07
236,-6.102710673865602e-08,2.267326834937912e-07
237,-6.435674292044196e-08,2.356456149522855e-07
238,-6.773325884372439e-08,2.446021201757223e-07
239,-7.115605586823218e-08,2.53597684502381e-07
240,-7.462450790048446e-08,2.626277656107777e-07
241,-7.813796135116063e-08,2.716877985009419e-07
242,-8.169573510359418e-08,2.807732004911793e-07
243,-8.529712049358342e-08,2.898793762226449e-07
244,-8.89413813007176e-08,2.990017226640242e-07
245,-9.262775375140265e-08,3.081356341086425e-07
246,-9.635544653378155e-08,3.172765071563044e-07
247,-1.00123640824728e-07,3.2641974567226e-07
248,-1.039314903290978e-07,3.355607657156698e-07
249,-1.077781213314172e-07,3.446950004300418e-07
250,-1.116626327601782e-07,3.538179048881614e-07
251,-1.155840962649127e-07,3.629249608841371e-07
252,-1.195415563062078e-07,3.720116816652392e-07
253,-1.235340302588202e-07,3.810736165963641e-07
254,-1.27560508528044e-07,3.901063557500281e-07
255,-1.316199546794754e-07,3.991055344149557e-07
256,-1.357113055823174e-07,4.080668375164378e-07
257,-1.398334715663546e-07,4.169860039418158e-07
258,-1.439853365927228e-07,4.258588307645941e-07
259,-1.481657584385944e-07,4.346811773608348e-07
