"Time","vhx","vhy"
247,7.436229692908251e-07,-9.613304829009413e-07
248,7.532753675862414e-07,-1.086383821055912e-06
249,7.630002542579453e-07,-1.211313062318972e-06
250,7.727956206925776e-07,-1.336123033332634e-06
251,7.826593268948194e-07,-1.460819510719687e-06
252,7.925890998677296e-07,-1.585409131715173e-06
253,8.025825320900522e-07,-1.70989930320777e-06
254,8.126370800931735e-07,-1.834298109402108e-06
255,8.227500631402507e-07,-1.95861421831447e-06
256,8.329186620100325e-07,-2.082856787315814e-06
257,8.431399178878149e-07,-2.207035367936445e-06
258,8.534107313657838e-07,-2.33115981014678e-06
259,8.637278615551573e-07,-2.455240166328438e-06
260,8.740879253121265e-07,-2.579286595149381e-06
261,8.844873965798535e-07,-2.703309265555304e-06
262,8.949226058483995e-07,-2.827318261088411e-06
263,9.053897397345804e-07,-2.951323484742509e-06
264,9.15884840683573e-07,-3.075334564561026e-06
265,9.264038067939229e-07,-3.19936076018204e-06
266,9.369423917676952e-07,-3.323410870531021e-06
267,9.474962049871898e-07,-3.447493142858683e-06
268,9.580607117197769e-07,-3.571615183317496e-06
269,9.686312334520459e-07,-3.695783869265985e-06
270,9.792029483546421e-07,-3.820005263485637e-06
271,9.89770891878766e-07,-3.944284530490176e-06
272,1.000329957485475e-06,-4.068625855101728e-06
273,1.010874897508626e-06,-4.193032363462977e-06
274,1.021400324152233e-06,-4.317506046648446e-06
275,1.031900710623003e-06,-4.44204768703194e-06
276,1.042370392398547e-06,-4.566656787560839e-06
277,1.052803568631763e-06,-4.691331504081235e-06
278,1.063194303691711e-06,-4.816068580850875e-06
279,1.073536528841196e-06,-4.940863289370034e-06
280,1.083824044051249e-06,-5.065709370652704e-06
281,1.094050519952335e-06,-5.190598981053302e-06
282,1.104209499922356e-06,-5.315522641756122e-06
283,1.114294402311033e-06,-5.440469192026906e-06
284,1.124298522800426e-06,-5.565425746317924e-06
285,1.134215036901007e-06,-5.690377655309789e-06
286,1.144037002582773e-06,-5.815308470964774e-06
287,1.153757363040605e-06,-5.940199915658133e-06
288,1.163368949593053e-06,-6.065031855445415e-06
289,1.172864484713605e-06,-6.189782277515211e-06
290,1.182236585193293e-06,-6.314427271868236e-06
291,1.191477765433513e-06,-6.438941017254743e-06
292,1.200580440867667e-06,-6.563295771394043e-06
293,1.209536931510228e-06,-6.687461865490972e-06
294,1.218339465631628e-06,-6.811407703055478e-06
295,1.226980183557354e-06,-6.935099763023179e-06
296,1.235451141589375e-06,-7.058502607165951e-06
297,1.243744316048089e-06,-7.181578891773237e-06
298,1.251851607432655e-06,-7.304289383576361e-06
299,1.25976484469768e-06,-7.42659297987983e-06
300,1.267475789643928e-06,-7.548446732855444e-06
301,1.274976141420764e-06,-7.669805877947047e-06
302,1.282257541137765e-06,-7.79062386632564e-06
303,1.289311576583057e-06,-7.910852401327142e-06
304,1.296129787045561e-06,-8.030441478797246e-06
305,1.302703668238434e-06,-8.149339431260603e-06
306,1.30902467732081e-06,-8.267492975824286e-06
307,1.315084238014831e-06,-8.384847265718437e-06
308,1.320873745814885e-06,-8.501345945370788e-06
309,1.326384573285861e-06,-8.616931208904127e-06
310,1.331608075447166e-06,-8.73154386194091e-06
311,1.336535595239093e-06,-8.845123386591986e-06
312,1.341158469068102e-06,-8.957608009501488e-06
313,1.34546803242747e-06,-9.068934772814091e-06
314,1.349455625589661e-06,-9.179039607925695e-06
315,1.353112599366713e-06,-9.287857411873832e-06
316,1.356430320934842e-06,-9.395322126219688e-06
317,1.359400179719398e-06,-9.5013668182686e-06
318,1.362013593336233e-06,-9.605923764473119e-06
319,1.364262013585446e-06,-9.708924535858045e-06
320,1.366136932493464e-06,-9.810300085304098e-06
321,1.367629888399284e-06,-9.909980836523837e-06
322,1.368732472080666e-06,-1.000789677456073e-05
323,1.369436332916044e-06,-1.010397753763995e-05
324,1.369733185077811e-06,-1.019815251019768e-05
325,1.369614813752618e-06,-1.029035091691395e-05
326,1.369073081384279e-06,-1.038050191757285e-05
327,1.368099933934798e-06,-1.046853470257296e-05
328,1.36668740715905e-06,-1.055437858891036e-05
329,1.364827632888548e-06,-1.063796311645632e-05
330,1.362512845319749e-06,-1.071921814435185e-05
331,1.359735387302268e-06,-1.079807394734162e-05
332,1.356487716622417e-06,-1.087446131187092e-05
333,1.352762412277359e-06,-1.094831163177009e-05
334,1.348552180735283e-06,-1.101955700335232e-05
335,1.343849862176842e-06,-1.108813031975282e-05
336,1.338648436713199e-06,-1.115396536433902e-05
337,1.332941030575997e-06,-1.121699690302427e-05
338,1.32672092227451e-06,-1.127716077531995e-05
339,1.31998154871527e-06,-1.133439398396398e-05
340,1.312716511279513e-06,-1.138863478296718e-05
341,1.30491958185371e-06,-1.143982276392244e-05
342,1.296584708808512e-06,-1.148789894042534e-05
343,1.287706022921464e-06,-1.153280583045939e-05
344,1.278277843238807e-06,-1.157448753660319e-05
345,1.268294682871789e-06,-1.161288982392158e-05
346,1.257751254722853e-06,-1.164796019540766e-05
347,1.246642477137176e-06,-1.167964796484772e-05
348,1.234963479474987e-06,-1.170790432698665e-05
349,1.222709607600216e-06,-1.173268242487651e-05
350,1.20987642928101e-06,-1.175393741429724e-05
351,1.196459739497707e-06,-1.177162652514391e-05
352,1.182455565653922e-06,-1.178570911968127e-05
353,1.167860172686496e-06,-1.179614674757273e-05
354,1.152670068069952e-06,-1.180290319759696e-05
355,1.136882006711434e-06,-1.180594454597203e-05
356,1.120492995731855e-06,-1.18052392012139e-05
357,1.103500299129332e-06,-1.18007579454621e-05
358,1.085901442320891e-06,-1.179247397221336e-05
359,1.067694216558495e-06,-1.178036292040981e-05
360,1.048876683215605e-06,-1.176440290483613e-05
361,1.029447177940613e-06,-1.174457454278659e-05
362,1.009404314673309e-06,-1.17208609769706e-05
363,9.887469895209859e-07,-1.169324789463154e-05
364,9.674743844905912e-07,-1.166172354286192e-05
365,9.455859710735741e-07,-1.162627874010415e-05
366,9.230815136801605e-07,-1.158690688383363e-05
367,8.999610729198144e-07,-1.154360395442808e-05
368,8.762250087248174e-07,-1.149636851523393e-05
369,8.518739833140184e-07,-1.144520170884728e-05
370,8.269089639937391e-07,-1.139010724963459e-05
371,8.013312257932933e-07,-1.133109141252434e-05
372,7.751423539322227e-07,-1.126816301810791e-05
373,7.483442461168438e-07,-1.120133341409478e-05
374,7.209391146636414e-07,-1.113061645317344e-05
375,6.929294884471877e-07,-1.105602846733565e-05
376,6.643182146704096e-07,-1.097758823872831e-05
377,6.351084604551267e-07,-1.089531696710294e-05
378,6.053037142509264e-07,-1.080923823393899e-05
