"Time","vhx","vhy"
261,-6.20645671705524e-07,1.090917024402085e-05
262,-6.116909715476195e-07,1.13932040049473e-05
263,-6.025929046452181e-07,1.187859803755496e-05
264,-5.933531485242198e-07,1.236540916821703e-05
265,-5.839734279153319e-07,1.285369463557734e-05
266,-5.744555149850607e-07,1.334351201278036e-05
267,-5.648012295686947e-07,1.383491912955003e-05
268,-5.550124394050314e-07,1.432797399417076e-05
269,-5.450910603723788e-07,1.482273471542212e-05
270,-5.3503905672555e-07,1.531925942452064e-05
271,-5.248584413333449e-07,1.581760619711973e-05
272,-5.145512759162572e-07,1.631783297542067e-05
273,-5.041196712838474e-07,1.681999749044559e-05
274,-4.935657875715206e-07,1.732415718452408e-05
275,-4.828918344761256e-07,1.783036913404471e-05
276,-4.721000714900721e-07,1.833868997252191e-05
277,-4.611928081334645e-07,1.884917581402901e-05
278,-4.501724041837577e-07,1.936188217704687e-05
279,-4.390412699026221e-07,1.987686390877848e-05
280,-4.278018662593803e-07,2.039417510997788e-05
281,-4.164567051506864e-07,2.091386906034285e-05
282,-4.050083496159201e-07,2.143599814451898e-05
283,-3.934594140478049e-07,2.196061377876306e-05
284,-3.818125643978113e-07,2.248776633831303e-05
285,-3.700705183758557e-07,2.301750508551063e-05
286,-3.582360456437641e-07,2.354987809872311e-05
287,-3.463119680020437e-07,2.408493220210909e-05
288,-3.34301159569528e-07,2.462271289627321e-05
289,-3.222065469552735e-07,2.516326428985361e-05
290,-3.100311094223574e-07,2.570662903208547e-05
291,-2.977778790429741e-07,2.625284824638317e-05
292,-2.854499408443887e-07,2.680196146498264e-05
293,-2.730504329452817e-07,2.735400656468536e-05
294,-2.605825466818942e-07,2.790901970374359e-05
295,-2.480495267236341e-07,2.846703525992666e-05
296,-2.354546711774976e-07,2.902808576980654e-05
297,-2.228013316809548e-07,2.959220186930065e-05
298,-2.100929134827257e-07,3.01594122355083e-05
299,-1.973328755110249e-07,3.072974352987666e-05
300,-1.845247304287793e-07,3.130322034273154e-05
301,-1.71672044675337e-07,3.187986513920632e-05
302,-1.587784384942581e-07,3.245969820660254e-05
303,-1.458475859466496e-07,3.304273760321368e-05
304,-1.3288321490969e-07,3.362899910864359e-05
305,-1.198891070597682e-07,3.421849617564888e-05
306,-1.0686909783996e-07,3.481123988353485e-05
307,-9.382707641127285e-08,3.540723889313212e-05
308,-8.076698558731414e-08,3.60064994033813e-05
309,-6.769282175193096e-08,3.660902510955105e-05
310,-5.460863475946843e-08,3.721481716311383e-05
311,-4.15185278171525e-08,3.782387413330348e-05
312,-2.842665734931982e-08,3.843619197037627e-05
313,-1.533723284305956e-08,3.905176397059674e-05
314,-2.254516674898628e-09,3.967058074296855e-05
315,1.081717608179926e-08,4.029263017772888e-05
316,2.38734778690822e-08,4.091789741662412e-05
317,3.690996887666149e-08,4.154636482498331e-05
318,4.992217729440538e-08,4.21780119656046e-05
319,6.290557958549022e-08,4.281281557446871e-05
320,7.58556007804395e-08,4.345074953829227e-05
321,8.876761479234971e-08,4.409178487393269e-05
322,1.016369447535876e-07,4.473588970965472e-05
323,1.144588633741462e-07,4.538302926826829e-05
324,1.272285933220742e-07,4.603316585214509e-05
325,1.39941307625977e-07,4.668625883012092e-05
326,1.525921300999872e-07,4.734226462628901e-05
327,1.651761357913457e-07,4.800113671068872e-05
328,1.776883514507247e-07,4.866282559189238e-05
329,1.901237560256197e-07,4.932727881149221e-05
330,2.024772811766956e-07,4.999444094048766e-05
331,2.14743811817616e-07,5.066425357757234e-05
332,2.269181866780423e-07,5.133665534931879e-05
333,2.389951988903107e-07,5.20115819122576e-05
334,2.509695965996147e-07,5.268896595684654e-05
335,2.628360835978528e-07,5.336873721332415e-05
336,2.745893199813162e-07,5.405082245944044e-05
337,2.862239228320304e-07,5.473514553005721e-05
338,2.977344669230262e-07,5.54216273286081e-05
339,3.091154854473853e-07,5.611018584040828e-05
340,3.203614707711317e-07,5.680073614780163e-05
341,3.314668752099646e-07,5.749319044713313e-05
342,3.424261118297161e-07,5.818745806753171e-05
343,3.532335552706212e-07,5.888344549148897e-05
344,3.638835425951641e-07,5.958105637721691e-05
345,3.743703741596103e-07,6.028019158276772e-05
346,3.846883145089106e-07,6.098074919189644e-05
347,3.948315932950679e-07,6.168262454164724e-05
348,4.047944062187007e-07,6.23857102516423e-05
349,4.145709159936644e-07,6.308989625505165e-05
350,4.24155253334702e-07,6.379506983122078e-05
351,4.335415179677122e-07,6.45011156399321e-05
352,4.427237796626652e-07,6.520791575727561e-05
353,4.516960792887943e-07,6.591534971310234e-05
